N,p,seed,number_of_shortcuts,status,total_spikes,last_spike_time,activity_duration,late_spikes,runtime_seconds
2000,0.0,0,0,FAILURE,2000,1010.0,1000.0,0,4.8564515999751166
2000,0.0,1,0,FAILURE,2000,1010.0,1000.0,0,4.3202216000063345
2000,0.0,2,0,FAILURE,2000,1010.0,1000.0,0,4.287320900009945
2000,0.0,3,0,FAILURE,2000,1010.0,1000.0,0,4.173677199985832
2000,0.0,4,0,FAILURE,2000,1010.0,1000.0,0,4.07817510003224
2000,0.0,5,0,FAILURE,2000,1010.0,1000.0,0,4.282452400075272
2000,0.0,6,0,FAILURE,2000,1010.0,1000.0,0,4.264120599953458
2000,0.0,7,0,FAILURE,2000,1010.0,1000.0,0,3.7638538000173867
2000,0.0,8,0,FAILURE,2000,1010.0,1000.0,0,3.7568309000926092
2000,0.0,9,0,FAILURE,2000,1010.0,1000.0,0,3.5872286000521854
2000,0.0,10,0,FAILURE,2000,1010.0,1000.0,0,3.7149162999121472
2000,0.0,11,0,FAILURE,2000,1010.0,1000.0,0,3.846716200001538
2000,0.0,12,0,FAILURE,2000,1010.0,1000.0,0,4.11057040002197
2000,0.0,13,0,FAILURE,2000,1010.0,1000.0,0,3.8357408000156283
2000,0.0,14,0,FAILURE,2000,1010.0,1000.0,0,3.5312870000489056
2000,0.0,15,0,FAILURE,2000,1010.0,1000.0,0,3.554204300045967
2000,0.0,16,0,FAILURE,2000,1010.0,1000.0,0,3.6012669999618083
2000,0.0,17,0,FAILURE,2000,1010.0,1000.0,0,3.519042499945499
2000,0.0,18,0,FAILURE,2000,1010.0,1000.0,0,3.539299099938944
2000,0.0,19,0,FAILURE,2000,1010.0,1000.0,0,3.660548700019717
2000,0.0,20,0,FAILURE,2000,1010.0,1000.0,0,3.620077900006436
2000,0.0,21,0,FAILURE,2000,1010.0,1000.0,0,3.5968433000380173
2000,0.0,22,0,FAILURE,2000,1010.0,1000.0,0,3.5463333999505267
