N,p,number_of_shortcuts,realizations,success_count,failure_count,probability_success,probability_failure,percent_failure,percent_standard_error,runtime_seconds
2000,0.0,0,100,0,100,0.0,1.0,100.0,0.0,365.4262618999928
2000,0.05263157894736842,105,100,100,0,1.0,0.0,0.0,0.0,391.78659829997923
2000,0.10526315789473684,211,100,100,0,1.0,0.0,0.0,0.0,390.72986730001867
2000,0.15789473684210525,316,100,84,16,0.84,0.16,16.0,3.6660605559646715,382.1816218000604
2000,0.21052631578947367,421,100,44,56,0.44,0.56,56.00000000000001,4.963869458396342,372.71495329996105
2000,0.2631578947368421,526,100,12,88,0.12,0.88,88.0,3.249615361854384,359.03353829996195
2000,0.3157894736842105,632,100,2,98,0.02,0.98,98.0,1.4000000000000006,355.3939384999685
2000,0.3684210526315789,737,100,2,98,0.02,0.98,98.0,1.4000000000000006,3581.371961900033
2000,0.42105263157894735,842,100,0,100,0.0,1.0,100.0,0.0,355.53185320005286
2000,0.47368421052631576,947,100,0,100,0.0,1.0,100.0,0.0,355.78279399999883
2000,0.5263157894736842,1053,100,0,100,0.0,1.0,100.0,0.0,356.58265130000655
2000,0.5789473684210527,1158,100,0,100,0.0,1.0,100.0,0.0,356.4617098000599
2000,0.631578947368421,1263,100,0,100,0.0,1.0,100.0,0.0,356.24674119998235
2000,0.6842105263157894,1368,100,0,100,0.0,1.0,100.0,0.0,355.73003420000896
2000,0.7368421052631579,1474,100,0,100,0.0,1.0,100.0,0.0,356.91890469996724
2000,0.7894736842105263,1579,100,0,100,0.0,1.0,100.0,0.0,356.00409369997215
2000,0.8421052631578947,1684,100,0,100,0.0,1.0,100.0,0.0,354.4094939000206
2000,0.894736842105263,1789,100,0,100,0.0,1.0,100.0,0.0,356.6274673999287
2000,0.9473684210526315,1895,100,0,100,0.0,1.0,100.0,0.0,365.987655700068
2000,1.0,2000,100,0,100,0.0,1.0,100.0,0.0,359.1578878000146
