N,p,seed,number_of_shortcuts,status,total_spikes,last_spike_time,late_spikes,runtime_seconds
250,0.0,0,0,FAILURE,250,135.0,0,6.325934899970889
250,0.0,1,0,FAILURE,250,135.0,0,6.422588999965228
250,0.0,4,0,FAILURE,250,135.0,0,6.4417173999827355
250,0.0,7,0,FAILURE,250,135.0,0,6.456014399998821
250,0.0,5,0,FAILURE,250,135.0,0,6.4899643999524415
250,0.0,6,0,FAILURE,250,135.0,0,6.5243525000987574
250,0.0,9,0,FAILURE,250,135.0,0,6.467382699949667
250,0.0,2,0,FAILURE,250,135.0,0,6.570642900071107
250,0.0,3,0,FAILURE,250,135.0,0,6.579405200085603
250,0.0,8,0,FAILURE,250,135.0,0,6.525711199967191
250,0.0,10,0,FAILURE,250,135.0,0,6.483910099952482
250,0.0,12,0,FAILURE,250,135.0,0,6.167727600084618
250,0.0,11,0,FAILURE,250,135.0,0,6.34454600000754
250,0.0,14,0,FAILURE,250,135.0,0,6.199522799928673
250,0.0,18,0,FAILURE,250,135.0,0,6.213886299985461
250,0.0,13,0,FAILURE,250,135.0,0,6.33259420003742
250,0.0,15,0,FAILURE,250,135.0,0,6.336515699978918
250,0.0,16,0,FAILURE,250,135.0,0,6.361492099938914
250,0.0,20,0,FAILURE,250,135.0,0,6.334945900016464
250,0.0,17,0,FAILURE,250,135.0,0,6.394193699932657
250,0.0,21,0,FAILURE,250,135.0,0,6.388664500089362
250,0.0,19,0,FAILURE,250,135.0,0,6.425099199987017
250,0.0,22,0,FAILURE,250,135.0,0,6.286760299932212
250,0.0,23,0,FAILURE,250,135.0,0,6.3417316999984905
250,0.0,24,0,FAILURE,250,135.0,0,6.34875749994535
250,0.0,26,0,FAILURE,250,135.0,0,6.335474499966949
250,0.0,25,0,FAILURE,250,135.0,0,6.349803499993868
250,0.0,28,0,FAILURE,250,135.0,0,6.271193600026891
250,0.0,27,0,FAILURE,250,135.0,0,6.368391899974085
250,0.0,31,0,FAILURE,250,135.0,0,6.340912100044079
250,0.0,29,0,FAILURE,250,135.0,0,6.409552400000393
250,0.0,30,0,FAILURE,250,135.0,0,6.498687600018457
250,0.0,32,0,FAILURE,250,135.0,0,6.472190200001933
250,0.0,34,0,FAILURE,250,135.0,0,6.225978099973872
250,0.0,33,0,FAILURE,250,135.0,0,6.454527199966833
250,0.0,37,0,FAILURE,250,135.0,0,6.265221600071527
250,0.0,38,0,FAILURE,250,135.0,0,6.249366199946962
250,0.0,35,0,FAILURE,250,135.0,0,6.429418099927716
250,0.0,36,0,FAILURE,250,135.0,0,6.352604100015014
250,0.0,39,0,FAILURE,250,135.0,0,6.347167800064199
250,0.0,43,0,FAILURE,250,135.0,0,6.315593700041063
250,0.0,42,0,FAILURE,250,135.0,0,6.362526400014758
250,0.0,41,0,FAILURE,250,135.0,0,6.473414600011893
250,0.0,40,0,FAILURE,250,135.0,0,6.566844699904323
250,0.0,44,0,FAILURE,250,135.0,0,6.648338799946941
250,0.0,47,0,FAILURE,250,135.0,0,6.617645799997263
250,0.0,46,0,FAILURE,250,135.0,0,6.819564100005664
250,0.0,48,0,FAILURE,250,135.0,0,6.791394399944693
250,0.0,45,0,FAILURE,250,135.0,0,7.037415300030261
250,0.0,49,0,FAILURE,250,135.0,0,6.9252427000319585
250,0.0,51,0,FAILURE,250,135.0,0,6.682447500061244
250,0.0,50,0,FAILURE,250,135.0,0,6.958596599986777
250,0.0,52,0,FAILURE,250,135.0,0,6.957111099967733
250,0.0,53,0,FAILURE,250,135.0,0,7.085738099995069
250,0.0,54,0,FAILURE,250,135.0,0,7.042844999930821
250,0.0,55,0,FAILURE,250,135.0,0,6.77167859999463
250,0.0,56,0,FAILURE,250,135.0,0,6.892465200042352
250,0.0,57,0,FAILURE,250,135.0,0,6.976738600060344
250,0.0,62,0,FAILURE,250,135.0,0,6.675041200011037
