N,p,number_of_shortcuts,realizations,success_count,failure_count,probability_failure,percent_failure,percent_standard_error,runtime_seconds
250,0.0,0,100,0,100,1.0,100.0,0.0,64.12359950004611
250,0.05,12,100,77,23,0.23,23.0,4.208325082500163,67.51200420001987
250,0.075,19,100,64,36,0.36,36.0,4.8,64.99607969995122
250,0.1,25,100,49,51,0.51,51.0,4.998999899979995,63.201932999887504
250,0.125,31,100,32,68,0.68,68.0,4.66476151587624,63.67319290002342
250,0.15,38,100,17,83,0.83,83.0,3.7563279941985903,64.32910849992186
250,0.175,44,100,11,89,0.89,89.0,3.1288975694324024,63.93156950001139
250,0.2,50,100,7,93,0.93,93.0,2.551470164434614,62.32708099996671
250,0.225,56,100,2,98,0.98,98.0,1.4000000000000006,62.1310832001036
250,0.25,62,100,2,98,0.98,98.0,1.4000000000000006,61.76171039999463
250,0.275,69,100,1,99,0.99,99.0,0.9949874371066205,64.08074630005285
250,0.3,75,100,0,100,1.0,100.0,0.0,61.901918299961835
250,0.325,81,100,0,100,1.0,100.0,0.0,61.85160040005576
250,0.35,88,100,0,100,1.0,100.0,0.0,62.9529086999828
250,0.4,100,100,0,100,1.0,100.0,0.0,62.80755330005195
500,0.0,0,100,0,100,1.0,100.0,0.0,67.81003170006443
500,0.05,25,100,97,3,0.03,3.0,1.7058722109231979,66.97590890002903
500,0.075,38,100,88,12,0.12,12.0,3.249615361854384,66.31934140005615
500,0.1,50,100,78,22,0.22,22.0,4.142463035441596,67.93825999996625
500,0.125,62,100,57,43,0.43,43.0,4.950757517794625,68.41530729993246
500,0.15,75,100,37,63,0.63,63.0,4.828043081829325,67.0305459999945
500,0.175,88,100,25,75,0.75,75.0,4.330127018922194,65.49732339999173
500,0.2,100,100,16,84,0.84,84.0,3.6660605559646724,65.52712039998733
500,0.225,112,100,10,90,0.9,90.0,3.0,65.01289020001423
500,0.25,125,100,6,94,0.94,94.0,2.3748684174075843,65.88683450000826
500,0.275,138,100,2,98,0.98,98.0,1.4000000000000006,66.10331839998253
500,0.3,150,100,2,98,0.98,98.0,1.4000000000000006,64.63823020004202
500,0.325,162,100,0,100,1.0,100.0,0.0,64.60833100008313
500,0.35,175,100,0,100,1.0,100.0,0.0,66.96516290004365
500,0.4,200,100,0,100,1.0,100.0,0.0,64.95819769997615
1000,0.0,0,100,0,100,1.0,100.0,0.0,78.54648809996434
1000,0.05,50,100,100,0,0.0,0.0,0.0,80.2287142999703
1000,0.075,75,100,99,1,0.01,1.0,0.99498743710662,80.79647579998709
1000,0.1,100,100,96,4,0.04,4.0,1.9595917942265424,81.71403340005782
1000,0.125,125,100,93,7,0.07,7.000000000000001,2.551470164434615,79.52515350002795
1000,0.15,150,100,63,37,0.37,37.0,4.828043081829325,79.09883589996025
1000,0.175,175,100,46,54,0.54,54.0,4.983974317750845,79.09150979993865
1000,0.2,200,100,31,69,0.69,69.0,4.624932431938871,79.30744319991209
1000,0.225,225,100,16,84,0.84,84.0,3.6660605559646724,77.15407609997783
1000,0.25,250,100,8,92,0.92,92.0,2.7129319932501064,77.13808309996966
1000,0.275,275,100,6,94,0.94,94.0,2.3748684174075843,81.14044180000201
1000,0.3,300,100,2,98,0.98,98.0,1.4000000000000006,77.97157459997106
1000,0.325,325,100,1,99,0.99,99.0,0.9949874371066205,77.73474230000284
1000,0.35,350,100,0,100,1.0,100.0,0.0,77.01631730003282
1000,0.4,400,100,0,100,1.0,100.0,0.0,79.28150809998624
2000,0.0,0,100,0,100,1.0,100.0,0.0,95.20379149995279
2000,0.05,100,100,100,0,0.0,0.0,0.0,98.58759430004284
2000,0.075,150,100,100,0,0.0,0.0,0.0,101.69469959998969
2000,0.1,200,100,100,0,0.0,0.0,0.0,97.7247460000217
2000,0.125,250,100,100,0,0.0,0.0,0.0,102.70914489997085
2000,0.15,300,100,89,11,0.11,11.0,3.1288975694324033,101.08391150005627
2000,0.175,350,100,72,28,0.28,28.000000000000004,4.48998886412873,95.797109899926
2000,0.2,400,100,54,46,0.46,46.0,4.983974317750845,91.16045239998493
2000,0.225,450,100,30,70,0.7,70.0,4.582575694955841,91.14033660001587
2000,0.25,500,100,17,83,0.83,83.0,3.7563279941985903,91.73354869999457
2000,0.275,550,100,8,92,0.92,92.0,2.7129319932501064,88.34682759991847
2000,0.3,600,100,3,97,0.97,97.0,1.7058722109231987,92.94638800004032
2000,0.325,650,100,2,98,0.98,98.0,1.4000000000000006,91.34422550001182
2000,0.35,700,100,3,97,0.97,97.0,1.7058722109231987,97.69469659996685
2000,0.4,800,100,1,99,0.99,99.0,0.9949874371066205,93.80830089992378
