N,p,seed,number_of_shortcuts,total_spikes,last_spike_time,activity_duration,reached_tmax,censored,runtime_seconds
100,0.1,100000,10,100,37.0,27.0,False,False,6.055348300025798
100,0.1,100001,10,100,31.0,21.0,False,False,6.3516006000572816
100,0.1,100002,10,100,39.0,29.0,False,False,6.343815900036134
100,0.1,100003,10,101,43.0,33.0,False,False,6.197700800024904
100,0.1,100004,10,100,32.0,22.0,False,False,6.491713499999605
100,0.1,100005,10,101,36.0,26.0,False,False,6.423924000002444
100,0.1,100006,10,100,52.0,42.0,False,False,6.213520999997854
100,0.1,100007,10,100,44.0,34.0,False,False,6.10418749996461
100,0.1,100008,10,11072,3000.0,2990.0,True,True,6.1220756999682635
100,0.1,100009,10,100,40.0,30.0,False,False,6.277970200055279
100,0.1,100010,10,7676,3000.0,2990.0,True,True,6.354578000027686
100,0.1,100011,10,100,40.0,30.0,False,False,5.828449500026181
100,0.1,100012,10,101,33.0,23.0,False,False,5.922858100035228
100,0.1,100013,10,100,32.0,22.0,False,False,5.848377800080925
100,0.1,100014,10,100,33.0,23.0,False,False,5.878888300037943
100,0.1,100015,10,100,34.0,24.0,False,False,6.021295299986377
100,0.1,100016,10,100,33.0,23.0,False,False,5.901491799973883
100,0.1,100017,10,100,40.0,30.0,False,False,5.979962599929422
100,0.1,100018,10,100,34.0,24.0,False,False,5.8492473999504
100,0.1,100019,10,7115,3000.0,2990.0,True,True,5.981195500004105
100,0.1,100020,10,100,36.0,26.0,False,False,5.891213200055063
100,0.1,100021,10,100,30.0,20.0,False,False,5.800204600091092
100,0.1,100022,10,100,32.0,22.0,False,False,6.644729700055905
100,0.1,100023,10,100,29.0,19.0,False,False,6.372522999998182
100,0.1,100024,10,100,31.0,21.0,False,False,6.36607190000359
100,0.1,100025,10,100,31.0,21.0,False,False,6.468907099915668
100,0.1,100026,10,100,40.0,30.0,False,False,6.659384700004011
100,0.1,100027,10,100,38.0,28.0,False,False,7.191953900037333
100,0.1,100028,10,100,38.0,28.0,False,False,6.516817900002934
100,0.1,100029,10,100,28.0,18.0,False,False,6.5663779999595135
100,0.1,100030,10,100,32.0,22.0,False,False,6.467614200082608
100,0.1,100031,10,100,37.0,27.0,False,False,6.654370300006121
100,0.1,100032,10,100,30.0,20.0,False,False,6.877033700002357
100,0.1,100033,10,100,43.0,33.0,False,False,6.010167799890041
100,0.1,100034,10,100,38.0,28.0,False,False,6.12574799999129
100,0.1,100035,10,100,41.0,31.0,False,False,7.25125410000328
100,0.1,100036,10,100,34.0,24.0,False,False,6.113399200025015
100,0.1,100037,10,100,31.0,21.0,False,False,7.343495600041933
100,0.1,100038,10,100,32.0,22.0,False,False,6.40546020003967
100,0.1,100039,10,100,30.0,20.0,False,False,6.362645499990322
100,0.1,100040,10,100,34.0,24.0,False,False,7.318453300045803
100,0.1,100041,10,100,29.0,19.0,False,False,6.353151299990714
100,0.1,100042,10,100,40.0,30.0,False,False,6.306247100001201
100,0.1,100043,10,100,40.0,30.0,False,False,6.811005900031887
100,0.1,100044,10,100,27.0,17.0,False,False,7.716378399985842
100,0.1,100045,10,100,42.0,32.0,False,False,7.072710700100288
100,0.1,100046,10,100,39.0,29.0,False,False,6.888755000079982
100,0.1,100047,10,100,33.0,23.0,False,False,7.051113099907525
100,0.1,100048,10,101,34.0,24.0,False,False,6.785667599993758
100,0.1,100049,10,100,45.0,35.0,False,False,6.583447700017132
200,0.1,200000,20,200,34.0,24.0,False,False,7.609180099912919
200,0.1,200001,20,21027,3000.0,2990.0,True,True,8.555090900044888
200,0.1,200002,20,14785,3000.0,2990.0,True,True,7.433464200003073
200,0.1,200003,20,22940,3000.0,2990.0,True,True,7.991536100045778
200,0.1,200004,20,201,46.0,36.0,False,False,7.089562300010584
200,0.1,200005,20,200,41.0,31.0,False,False,7.467423299909569
200,0.1,200006,20,201,46.0,36.0,False,False,6.999932000064291
200,0.1,200007,20,22260,3000.0,2990.0,True,True,8.451248900033534
200,0.1,200008,20,18158,3000.0,2990.0,True,True,7.1665424000239
200,0.1,200009,20,200,43.0,33.0,False,False,8.202741000102833
200,0.1,200010,20,200,37.0,27.0,False,False,8.24785140005406
200,0.1,200011,20,200,53.0,43.0,False,False,10.324094599927776
200,0.1,200012,20,19934,3000.0,2990.0,True,True,7.656774900038727
200,0.1,200013,20,21730,3000.0,2990.0,True,True,7.897878999938257
200,0.1,200014,20,21256,3000.0,2990.0,True,True,7.801081900019199
200,0.1,200015,20,202,51.0,41.0,False,False,10.525018600048497
200,0.1,200016,20,21232,3000.0,2990.0,True,True,8.029915199964307
200,0.1,200017,20,200,42.0,32.0,False,False,8.030138700036332
200,0.1,200018,20,23324,3000.0,2990.0,True,True,8.641364099923521
200,0.1,200019,20,200,44.0,34.0,False,False,7.997142400010489
200,0.1,200020,20,200,49.0,39.0,False,False,8.192941299988888
200,0.1,200021,20,200,49.0,39.0,False,False,8.009719799971208
200,0.1,200022,20,200,34.0,24.0,False,False,8.179445200017653
200,0.1,200023,20,200,41.0,31.0,False,False,9.75118950009346
200,0.1,200024,20,200,40.0,30.0,False,False,8.025539600057527
200,0.1,200025,20,200,36.0,26.0,False,False,9.109441000036895
200,0.1,200026,20,200,47.0,37.0,False,False,8.781237300019711
200,0.1,200027,20,200,36.0,26.0,False,False,7.052706499933265
200,0.1,200028,20,22710,3000.0,2990.0,True,True,7.144275199971162
200,0.1,200029,20,200,39.0,29.0,False,False,7.094274999923073
200,0.1,200030,20,200,37.0,27.0,False,False,7.273734799935482
200,0.1,200031,20,200,41.0,31.0,False,False,8.019087700056843
200,0.1,200032,20,17585,3000.0,2990.0,True,True,8.400465699960478
200,0.1,200033,20,14605,3000.0,2990.0,True,True,7.854740599985234
200,0.1,200034,20,200,52.0,42.0,False,False,7.876040200004354
200,0.1,200035,20,13857,3000.0,2990.0,True,True,8.156836699927226
200,0.1,200036,20,18059,3000.0,2990.0,True,True,8.41320780001115
200,0.1,200037,20,200,40.0,30.0,False,False,8.107882399926893
200,0.1,200038,20,19259,3000.0,2990.0,True,True,8.10623180004768
200,0.1,200039,20,21249,3000.0,2990.0,True,True,8.072271900018677
200,0.1,200040,20,21187,3000.0,2990.0,True,True,8.322006499976851
200,0.1,200041,20,201,40.0,30.0,False,False,7.85820000001695
200,0.1,200042,20,19218,3000.0,2990.0,True,True,8.287015500012785
200,0.1,200043,20,202,43.0,33.0,False,False,7.60809460002929
200,0.1,200044,20,200,40.0,30.0,False,False,8.06039460003376
200,0.1,200045,20,200,36.0,26.0,False,False,7.524800800019875
200,0.1,200046,20,200,52.0,42.0,False,False,7.470656199962832
200,0.1,200047,20,200,43.0,33.0,False,False,7.351481199963018
200,0.1,200048,20,200,36.0,26.0,False,False,7.414179400075227
200,0.1,200049,20,18081,3000.0,2990.0,True,True,8.85458310006652
250,0.1,250000,25,250,37.0,27.0,False,False,9.17995419993531
250,0.1,250001,25,250,49.0,39.0,False,False,7.698669399949722
250,0.1,250002,25,25723,3000.0,2990.0,True,True,8.613386799930595
250,0.1,250003,25,251,40.0,30.0,False,False,8.388764100032859
250,0.1,250004,25,250,39.0,29.0,False,False,8.655058400006965
250,0.1,250005,25,250,44.0,34.0,False,False,7.588468399946578
250,0.1,250006,25,26542,3000.0,2990.0,True,True,8.520930900005624
250,0.1,250007,25,25417,3000.0,2990.0,True,True,9.185004799976014
250,0.1,250008,25,29020,3000.0,2990.0,True,True,7.729629799956456
250,0.1,250009,25,250,49.0,39.0,False,False,7.428293399978429
250,0.1,250010,25,250,46.0,36.0,False,False,7.373894499964081
