N,p,realization,seed,number_of_shortcuts,clustering_coefficient,total_spikes,mean_firing_rate
1000,0.0,0,0,0,0.0,781,0.0020025641025641027
1000,0.0,1,1,0,0.0,781,0.0020025641025641027
1000,0.0,2,2,0,0.0,781,0.0020025641025641027
1000,0.0,3,3,0,0.0,781,0.0020025641025641027
1000,0.0,4,4,0,0.0,781,0.0020025641025641027
1000,0.0,5,5,0,0.0,781,0.0020025641025641027
1000,0.0,6,6,0,0.0,781,0.0020025641025641027
1000,0.0,7,7,0,0.0,781,0.0020025641025641027
1000,0.0,8,8,0,0.0,781,0.0020025641025641027
1000,0.0,9,9,0,0.0,781,0.0020025641025641027
1000,0.01,0,10000,10,0.0,4846,0.012425641025641025
1000,0.01,1,10001,10,0.0,3450,0.008846153846153846
1000,0.01,2,10002,10,0.0,3824,0.009805128205128206
1000,0.01,3,10003,10,0.0,3155,0.008089743589743589
1000,0.01,4,10004,10,0.0,5318,0.013635897435897435
1000,0.01,5,10005,10,0.0,2850,0.007307692307692308
1000,0.01,6,10006,10,0.0,3899,0.009997435897435897
1000,0.01,7,10007,10,0.0,2858,0.007328205128205128
1000,0.01,8,10008,10,0.0,1514,0.003882051282051282
1000,0.01,9,10009,10,0.0,3843,0.009853846153846154
1000,0.02,0,20000,20,0.0,7355,0.018858974358974358
1000,0.02,1,20001,20,0.0,5038,0.012917948717948718
1000,0.02,2,20002,20,0.0,6288,0.016123076923076924
1000,0.02,3,20003,20,0.0,5725,0.01467948717948718
1000,0.02,4,20004,20,0.0,5632,0.01444102564102564
1000,0.02,5,20005,20,0.0,6236,0.01598974358974359
1000,0.02,6,20006,20,0.0,7785,0.01996153846153846
1000,0.02,7,20007,20,0.0,7258,0.01861025641025641
1000,0.02,8,20008,20,0.0,7520,0.019282051282051283
1000,0.02,9,20009,20,0.0,6505,0.01667948717948718
1000,0.03,0,30000,30,0.0,8392,0.021517948717948716
1000,0.03,1,30001,30,0.0,5850,0.015
1000,0.03,2,30002,30,0.0,8990,0.02305128205128205
1000,0.03,3,30003,30,0.0,7249,0.018587179487179487
1000,0.03,4,30004,30,0.0,8169,0.020946153846153847
1000,0.03,5,30005,30,0.0,9064,0.02324102564102564
1000,0.03,6,30006,30,0.0,8640,0.022153846153846152
1000,0.03,7,30007,30,0.0,11719,0.030048717948717947
1000,0.03,8,30008,30,0.0,8054,0.02065128205128205
1000,0.03,9,30009,30,0.0,11339,0.029074358974358974
1000,0.05,0,50000,50,0.0,11251,0.028848717948717947
1000,0.05,1,50001,50,0.0016666666666666666,9434,0.02418974358974359
1000,0.05,2,50002,50,0.0,9584,0.024574358974358973
1000,0.05,3,50003,50,0.0,13396,0.034348717948717945
1000,0.05,4,50004,50,0.0,10659,0.02733076923076923
1000,0.05,5,50005,50,0.0,11450,0.02935897435897436
1000,0.05,6,50006,50,0.0016666666666666666,12762,0.032723076923076924
1000,0.05,7,50007,50,0.0,11528,0.02955897435897436
1000,0.05,8,50008,50,0.0,9259,0.02374102564102564
1000,0.05,9,50009,50,0.0,11727,0.030069230769230768
1000,0.075,0,75000,75,0.0016666666666666666,13540,0.03471794871794872
1000,0.075,1,75001,75,0.0,11093,0.028443589743589744
1000,0.075,2,75002,75,0.0,11028,0.028276923076923078
1000,0.075,3,75003,75,0.0,11814,0.03029230769230769
1000,0.075,4,75004,75,0.0,10732,0.027517948717948718
1000,0.075,5,75005,75,0.0,11361,0.02913076923076923
1000,0.075,6,75006,75,0.0,13701,0.03513076923076923
1000,0.075,7,75007,75,0.0,11466,0.0294
1000,0.075,8,75008,75,0.0,11220,0.02876923076923077
1000,0.075,9,75009,75,0.0,14225,0.036474358974358974
1000,0.1,0,100000,100,0.0,13256,0.03398974358974359
1000,0.1,1,100001,100,0.0,1001,0.0025666666666666667
1000,0.1,2,100002,100,0.0,14299,0.03666410256410257
1000,0.1,3,100003,100,0.0016666666666666666,12854,0.03295897435897436
1000,0.1,4,100004,100,0.0,11919,0.030561538461538463
1000,0.1,5,100005,100,0.0,12313,0.03157179487179487
1000,0.1,6,100006,100,0.0,12531,0.032130769230769234
1000,0.1,7,100007,100,0.0,11754,0.030138461538461538
1000,0.1,8,100008,100,0.0,13340,0.03420512820512821
1000,0.1,9,100009,100,0.0026666666666666666,13594,0.03485641025641026
1000,0.15,0,150000,150,0.0,1001,0.0025666666666666667
1000,0.15,1,150001,150,0.0016666666666666666,11996,0.03075897435897436
1000,0.15,2,150002,150,0.0007666666666666666,12122,0.03108205128205128
1000,0.15,3,150003,150,0.0,1001,0.0025666666666666667
1000,0.15,4,150004,150,0.0,11028,0.028276923076923078
1000,0.15,5,150005,150,0.0,11077,0.0284025641025641
1000,0.15,6,150006,150,0.0,14061,0.03605384615384615
1000,0.15,7,150007,150,0.0,12146,0.031143589743589745
1000,0.15,8,150008,150,0.0,12918,0.03312307692307692
1000,0.15,9,150009,150,0.0,12021,0.030823076923076922
1000,0.2,0,200000,200,0.0016666666666666666,1000,0.002564102564102564
1000,0.2,1,200001,200,0.0016666666666666666,1003,0.0025717948717948716
1000,0.2,2,200002,200,0.0,11806,0.03027179487179487
1000,0.2,3,200003,200,0.0,1001,0.0025666666666666667
1000,0.2,4,200004,200,0.0,1000,0.002564102564102564
1000,0.2,5,200005,200,0.0015,1003,0.0025717948717948716
1000,0.2,6,200006,200,0.0,11671,0.029925641025641027
1000,0.2,7,200007,200,0.0025,1001,0.0025666666666666667
1000,0.2,8,200008,200,0.0,14498,0.03717435897435897
1000,0.2,9,200009,200,0.0,1002,0.0025692307692307694
1000,0.3,0,300000,300,0.0006666666666666666,1001,0.0025666666666666667
1000,0.3,1,300001,300,0.0030999999999999995,1003,0.0025717948717948716
1000,0.3,2,300002,300,0.002933333333333333,1008,0.0025846153846153844
1000,0.3,3,300003,300,0.0,1003,0.0025717948717948716
1000,0.3,4,300004,300,0.0022666666666666664,1005,0.002576923076923077
1000,0.3,5,300005,300,0.0016666666666666666,1005,0.002576923076923077
1000,0.3,6,300006,300,0.0,1007,0.002582051282051282
1000,0.3,7,300007,300,0.0019333333333333336,1006,0.0025794871794871796
1000,0.3,8,300008,300,0.0,1003,0.0025717948717948716
1000,0.3,9,300009,300,0.0,1008,0.0025846153846153844
1000,0.4,0,400000,400,0.0,1002,0.0025692307692307694
1000,0.4,1,400001,400,0.0,1004,0.0025743589743589743
1000,0.4,2,400002,400,0.0006666666666666666,1015,0.0026025641025641025
1000,0.4,3,400003,400,0.0012,1003,0.0025717948717948716
1000,0.4,4,400004,400,0.0011333333333333332,1020,0.0026153846153846153
1000,0.4,5,400005,400,0.0,1013,0.0025974358974358972
1000,0.4,6,400006,400,0.0007666666666666666,1007,0.002582051282051282
1000,0.4,7,400007,400,0.0016,1009,0.002587179487179487
1000,0.4,8,400008,400,0.0036999999999999997,1005,0.002576923076923077
1000,0.4,9,400009,400,0.0003333333333333334,1013,0.0025974358974358972
1000,0.5,0,500000,500,0.0011333333333333332,1002,0.0025692307692307694
1000,0.5,1,500001,500,0.0005666666666666666,1011,0.0025923076923076924
1000,0.5,2,500002,500,0.0007666666666666666,1013,0.0025974358974358972
1000,0.5,3,500003,500,0.0012333333333333335,1004,0.0025743589743589743
1000,0.5,4,500004,500,0.0015,1004,0.0025743589743589743
1000,0.5,5,500005,500,0.0005,1015,0.0026025641025641025
1000,0.5,6,500006,500,0.0015333333333333332,1009,0.002587179487179487
1000,0.5,7,500007,500,0.0012333333333333332,1019,0.0026128205128205127
1000,0.5,8,500008,500,0.0067952380952380955,1007,0.002582051282051282
1000,0.5,9,500009,500,0.0036666666666666666,1010,0.0025897435897435897
1000,0.6,0,600000,600,0.0006952380952380952,1006,0.0025794871794871796
1000,0.6,1,600001,600,0.0022333333333333333,1012,0.002594871794871795
1000,0.6,2,600002,600,0.0003333333333333334,1009,0.002587179487179487
1000,0.6,3,600003,600,0.001569047619047619,1017,0.002607692307692308
1000,0.6,4,600004,600,0.0032666666666666664,1013,0.0025974358974358972
1000,0.6,5,600005,600,0.0005666666666666666,1015,0.0026025641025641025
1000,0.6,6,600006,600,0.0004809523809523809,1014,0.0026
1000,0.6,7,600007,600,0.004142857142857143,1010,0.0025897435897435897
1000,0.6,8,600008,600,0.00039999999999999996,1014,0.0026
1000,0.6,9,600009,600,0.0005476190476190475,1008,0.0025846153846153844
1000,0.7,0,700000,700,0.0028619047619047617,1026,0.002630769230769231
1000,0.7,1,700001,700,0.00225,1031,0.0026435897435897436
1000,0.7,2,700002,700,0.0015476190476190475,1033,0.002648717948717949
1000,0.7,3,700003,700,0.002280952380952381,1018,0.00261025641025641
1000,0.7,4,700004,700,0.0005476190476190475,1041,0.0026692307692307692
1000,0.7,5,700005,700,0.005216666666666667,1014,0.0026
1000,0.7,6,700006,700,0.0022666666666666664,1021,0.002617948717948718
1000,0.7,7,700007,700,0.0027,1010,0.0025897435897435897
1000,0.7,8,700008,700,0.003928571428571428,1022,0.0026205128205128206
1000,0.7,9,700009,700,0.0004666666666666666,1014,0.0026
1000,0.8,0,800000,800,0.004136507936507936,1029,0.0026384615384615383
1000,0.8,1,800001,800,0.002935714285714285,1019,0.0026128205128205127
1000,0.8,2,800002,800,0.0024563492063492064,1029,0.0026384615384615383
1000,0.8,3,800003,800,0.002966666666666667,1023,0.0026230769230769233
1000,0.8,4,800004,800,0.0007809523809523809,1029,0.0026384615384615383
1000,0.8,5,800005,800,0.002328571428571428,1024,0.0026256410256410255
1000,0.8,6,800006,800,0.0002666666666666667,1035,0.0026538461538461538
1000,0.8,7,800007,800,0.0006142857142857143,1029,0.0026384615384615383
1000,0.8,8,800008,800,0.0027031746031746027,1020,0.0026153846153846153
1000,0.8,9,800009,800,0.0016619047619047618,1030,0.002641025641025641
1000,0.9,0,900000,900,0.0016952380952380951,1038,0.0026615384615384617
1000,0.9,1,900001,900,0.0007285714285714287,1036,0.0026564102564102564
1000,0.9,2,900002,900,0.003302380952380953,1021,0.002617948717948718
1000,0.9,3,900003,900,0.0033476190476190476,1055,0.002705128205128205
