N,p,realization,seed,number_of_shortcuts,total_spikes,mean_firing_rate,runtime_seconds
1000,0.0,0,0,0,1000,0.0005025125628140704,5.634872400085442
1000,0.0,1,1,0,1000,0.0005025125628140704,5.495787000050768
1000,0.0,2,2,0,1000,0.0005025125628140704,5.631115399999544
1000,0.0,3,3,0,1000,0.0005025125628140704,5.938537700101733
1000,0.0,4,4,0,1000,0.0005025125628140704,5.349225500016473
1000,0.0,5,5,0,1000,0.0005025125628140704,5.399608299951069
1000,0.0,6,6,0,1000,0.0005025125628140704,5.835043600061908
1000,0.0,7,7,0,1000,0.0005025125628140704,5.448362999944948
1000,0.0,8,8,0,1000,0.0005025125628140704,5.642464000033215
1000,0.0,9,9,0,1000,0.0005025125628140704,5.941086399951018
1000,0.05,0,500000,50,55453,0.027865829145728643,6.052979500032961
1000,0.05,1,500001,50,63479,0.03189899497487437,5.860666999942623
1000,0.05,2,500002,50,63119,0.03171809045226131,5.784775000065565
1000,0.05,3,500003,50,60586,0.030445226130653265,5.7236118000000715
1000,0.05,4,500004,50,65321,0.03282462311557789,6.5132337000686675
1000,0.05,5,500005,50,57280,0.02878391959798995,5.675335200037807
1000,0.05,6,500006,50,60095,0.030198492462311557,5.696390699944459
1000,0.05,7,500007,50,55801,0.02804070351758794,6.381890600081533
1000,0.05,8,500008,50,67161,0.03374924623115578,6.7395136000122875
1000,0.05,9,500009,50,67037,0.033686934673366836,5.833440899965353
1000,0.1,0,1000000,100,55942,0.028111557788944724,6.0860406999709085
1000,0.1,1,1000001,100,66926,0.03363115577889447,5.786414899979718
1000,0.1,2,1000002,100,65002,0.0326643216080402,5.446076499996707
1000,0.1,3,1000003,100,62139,0.031225628140703517,5.425152600044385
1000,0.1,4,1000004,100,63291,0.03180452261306533,5.932782100047916
1000,0.1,5,1000005,100,61220,0.030763819095477388,5.971467999974266
1000,0.1,6,1000006,100,65772,0.03305125628140704,5.612969700014219
1000,0.1,7,1000007,100,64319,0.03232110552763819,5.7412976999767125
1000,0.1,8,1000008,100,69483,0.03491608040201005,6.372928200056776
1000,0.1,9,1000009,100,72681,0.036523115577889446,6.3636853999923915
1000,0.15000000000000002,0,1500000,150,1003,0.0005040201005025126,5.867452999926172
1000,0.15000000000000002,1,1500001,150,1000,0.0005025125628140704,5.322391099995002
1000,0.15000000000000002,2,1500002,150,1004,0.0005045226130653267,5.474431000067852
1000,0.15000000000000002,3,1500003,150,68141,0.03424170854271357,5.761469700024463
1000,0.15000000000000002,4,1500004,150,70167,0.035259798994974875,5.631107700057328
1000,0.15000000000000002,5,1500005,150,67627,0.03398341708542713,5.6410535998875275
1000,0.15000000000000002,6,1500006,150,1002,0.0005035175879396985,5.378122600028291
1000,0.15000000000000002,7,1500007,150,77236,0.03881206030150754,5.626286599901505
1000,0.15000000000000002,8,1500008,150,76609,0.03849698492462311,5.844365100027062
1000,0.15000000000000002,9,1500009,150,1001,0.0005030150753768844,5.391336699947715
1000,0.2,0,2000000,200,73256,0.036812060301507535,5.913086000015028
1000,0.2,1,2000001,200,1003,0.0005040201005025126,5.415050400071777
1000,0.2,2,2000002,200,1002,0.0005035175879396985,5.596161600085907
1000,0.2,3,2000003,200,1000,0.0005025125628140704,5.355591099942103
1000,0.2,4,2000004,200,1000,0.0005025125628140704,5.383214500034228
1000,0.2,5,2000005,200,1006,0.0005055276381909548,5.583418200025335
1000,0.2,6,2000006,200,1002,0.0005035175879396985,5.401502199936658
1000,0.2,7,2000007,200,1005,0.0005050251256281407,5.370601900038309
1000,0.2,8,2000008,200,1002,0.0005035175879396985,5.428838499938138
