N,p,mean_number_of_shortcuts,number_of_realizations,mean_firing_rate,std_firing_rate
1000,0.0,0.0,10,0.0005025125628140704,0.0
1000,0.05,50.0,10,0.03092120603015075,0.0022063203806799467
1000,0.1,100.0,10,0.032501256281407036,0.002310501412419597
1000,0.15000000000000002,150.0,10,0.01833115577889447,0.01885609087995424
1000,0.2,200.0,10,0.004134673366834171,0.011481663452231176
1000,0.25,250.0,10,0.0005039698492462312,1.0175103885083523e-06
1000,0.30000000000000004,300.0,10,0.003675778894472362,0.010025744551142224
1000,0.35000000000000003,350.0,10,0.0005048743718592966,1.0868427603020653e-06
1000,0.4,400.0,10,0.0005051256281407036,1.271267401072693e-06
1000,0.45,450.0,10,0.0005052261306532663,9.235543552489223e-07
1000,0.5,500.0,10,0.0005065326633165829,1.2974818580259282e-06
1000,0.55,550.0,10,0.0005083919597989949,2.1587904346866043e-06
1000,0.6000000000000001,600.0,10,0.0005085929648241205,2.695204320042576e-06
1000,0.65,650.0,10,0.0005114572864321608,2.504733754441383e-06
1000,0.7000000000000001,700.0,10,0.0005112060301507538,2.5955042771901383e-06
1000,0.75,750.0,10,0.0005147236180904522,4.513608505990999e-06
1000,0.8,800.0,10,0.0005152763819095477,3.2237485356701764e-06
1000,0.8500000000000001,850.0,10,0.0005207035175879397,6.052443438866983e-06
1000,0.9,900.0,10,0.0005209547738693468,3.9500456653418754e-06
1000,0.9500000000000001,950.0,10,0.0005231155778894472,6.832856969638576e-06
1000,1.0,1000.0,10,0.0005219597989949748,6.767044793788602e-06
