current_index,N,I_ext,g_syn,p,number_of_realizations,mean_firing_rate,std_firing_rate
0,250,0.5,0.4,0.0,3,2.0100502512562813e-06,0.0
0,250,0.5,0.4,0.2,3,2.0100502512562813e-06,0.0
0,250,0.5,0.4,0.4,3,2.0100502512562813e-06,0.0
0,250,0.5,0.4,0.6000000000000001,3,2.0100502512562813e-06,0.0
0,250,0.5,0.4,0.8,3,2.0100502512562813e-06,0.0
0,250,0.5,0.4,1.0,3,2.0100502512562813e-06,0.0
1,250,0.75,0.4,0.0,3,0.0005025125628140704,0.0
1,250,0.75,0.4,0.2,3,0.10915912897822444,0.0014623171988125613
1,250,0.75,0.4,0.4,3,0.13793768844221108,0.01188248733281524
1,250,0.75,0.4,0.6000000000000001,3,0.14698760469011726,0.008219712217037725
1,250,0.75,0.4,0.8,3,0.165641541038526,0.0034499234048071584
1,250,0.75,0.4,1.0,3,0.19538492462311555,0.002328675097323856
2,250,1.0,0.4,0.0,3,0.0005025125628140704,0.0
2,250,1.0,0.4,0.2,3,0.22551892797319936,0.019200309368202488
2,250,1.0,0.4,0.4,3,0.29894807370184256,0.008285210214509484
2,250,1.0,0.4,0.6000000000000001,3,0.32360201005025124,0.0049106646605524456
2,250,1.0,0.4,0.8,3,0.3193943048576215,0.016611049722636138
2,250,1.0,0.4,1.0,3,0.3268817420435511,0.007400489210714283
3,250,1.25,0.4,0.0,3,0.48341708542713563,6.798699777552591e-17
3,250,1.25,0.4,0.2,3,0.47128844221105526,0.0269369015053799
3,250,1.25,0.4,0.4,3,0.4901922948073702,0.004977650038663795
3,250,1.25,0.4,0.6000000000000001,3,0.4912174204355109,0.0043443656178704755
3,250,1.25,0.4,0.8,3,0.5025601340033501,0.003869034162580104
3,250,1.25,0.4,1.0,3,0.5144837520938023,0.010146653300522977
4,250,1.5,0.4,0.0,3,0.4987577889447236,0.0
4,250,1.5,0.4,0.2,3,0.5012857621440535,0.0012789296510482193
4,250,1.5,0.4,0.4,3,0.5047892797319933,0.002216546250181448
4,250,1.5,0.4,0.6000000000000001,3,0.5073628140703518,0.009740725915976066
4,250,1.5,0.4,0.8,3,0.5125876046901173,0.00506774223861263
4,250,1.5,0.4,1.0,3,0.7932636515912898,0.03179411116454029
