seed,N,p,n_shortcuts,total_spikes,first_spike_time,last_spike_time,persistence_duration,mean_shortcut_length,max_shortcut_length,status
0,100,0.1,10,100,10.0,26.0,16.0,22.4,38,FAILED
1,100,0.1,10,100,10.0,50.0,40.0,17.4,45,FAILED
2,100,0.1,10,100,10.0,32.0,22.0,28.3,45,FAILED
3,100,0.1,10,674,10.0,200.0,190.0,15.3,38,PERSISTENT
4,100,0.1,10,100,10.0,34.0,24.0,20.9,41,FAILED
5,100,0.1,10,100,10.0,44.0,34.0,13.9,35,FAILED
6,100,0.1,10,100,10.0,33.0,23.0,33.2,46,FAILED
7,100,0.1,10,100,10.0,29.0,19.0,28.9,41,FAILED
8,100,0.1,10,100,10.0,45.0,35.0,20.6,39,FAILED
9,100,0.1,10,100,10.0,37.0,27.0,24.7,49,FAILED
10,100,0.1,10,100,10.0,29.0,19.0,25.4,44,FAILED
11,100,0.1,10,100,10.0,36.0,26.0,37.3,50,FAILED
12,100,0.1,10,100,10.0,33.0,23.0,24.7,46,FAILED
13,100,0.1,10,100,10.0,49.0,39.0,17.7,44,FAILED
14,100,0.1,10,595,10.0,200.0,190.0,33.5,48,PERSISTENT
15,100,0.1,10,100,10.0,34.0,24.0,18.4,29,FAILED
16,100,0.1,10,100,10.0,30.0,20.0,28.9,44,FAILED
17,100,0.1,10,577,10.0,200.0,190.0,18.1,49,PERSISTENT
18,100,0.1,10,100,10.0,43.0,33.0,31.1,50,FAILED
19,100,0.1,10,100,10.0,33.0,23.0,27.0,49,FAILED
