seed,source,target,ring_distance
0,85,63,22
0,51,26,25
0,30,4,26
0,7,1,6
0,17,81,36
0,64,91,27
0,50,60,10
0,97,72,25
0,63,54,9
0,55,93,38
1,47,51,4
1,75,95,20
1,3,14,11
1,82,94,12
1,24,31,7
1,86,42,44
1,27,82,45
1,25,40,15
1,64,54,10
1,8,2,6
2,83,26,43
2,10,29,19
2,41,81,40
2,45,9,36
2,33,60,27
2,81,72,9
2,99,18,19
2,88,5,17
2,55,27,28
2,20,65,45
3,81,8,27
3,17,23,6
3,18,80,38
3,86,58,28
3,3,9,6
3,33,43,10
3,62,47,15
3,26,15,11
3,69,73,4
3,3,11,8
4,72,94,22
4,88,51,37
4,94,97,3
4,97,8,11
4,45,60,15
4,28,37,9
4,62,80,18
4,58,17,41
4,67,87,20
4,21,54,33
5,67,80,13
5,2,80,22
5,46,51,5
5,63,28,35
5,97,5,8
5,27,38,11
5,57,40,17
5,13,4,9
5,0,4,4
5,14,99,15
6,44,53,9
6,51,34,17
6,94,36,42
6,65,37,28
6,44,98,46
6,18,63,45
6,42,67,25
6,75,32,43
6,45,12,33
6,61,5,44
7,94,62,32
7,68,89,21
7,57,77,20
7,83,22,39
7,5,30,25
7,28,87,41
7,91,0,9
7,49,82,33
7,13,79,34
7,11,46,35
8,71,32,39
8,23,98,25
8,17,31,14
8,64,78,14
8,63,86,23
8,4,39,35
8,57,43,14
8,4,10,6
8,54,47,7
8,95,24,29
9,42,87,45
9,96,28,32
9,11,60,49
9,66,77,11
9,64,71,7
9,92,86,6
9,72,91,19
9,79,43,36
9,74,48,26
9,90,6,16
10,77,95,18
10,26,20,6
10,79,82,3
10,51,14,37
10,83,51,32
10,15,13,2
10,41,68,27
10,40,84,44
10,0,42,42
10,52,95,43
11,79,49,30
11,71,2,31
11,48,14,34
11,40,92,48
11,54,7,47
11,54,12,42
11,75,94,19
11,97,62,35
11,86,36,50
11,14,51,37
12,61,25,36
12,97,94,3
12,6,18,12
12,19,17,2
12,58,34,24
12,48,23,25
12,95,67,28
12,66,11,45
12,15,89,26
12,31,85,46
13,89,86,3
13,81,85,4
13,6,81,25
13,94,26,32
13,16,7,9
13,79,94,15
13,78,0,22
13,83,91,8
13,13,98,15
13,84,28,44
14,15,83,32
14,65,36,29
14,8,70,38
14,34,86,48
14,33,64,31
14,18,54,36
14,7,76,31
14,9,71,38
14,76,46,30
14,79,57,22
15,93,69,24
15,70,81,11
15,24,34,10
15,20,4,16
15,44,57,13
15,96,14,18
15,98,71,27
15,46,34,12
15,69,45,24
15,26,97,29
16,53,56,3
16,82,43,39
16,76,9,33
16,52,34,18
16,1,62,39
16,46,2,44
16,29,87,42
16,7,85,22
16,88,4,16
16,13,80,33
17,74,84,10
17,10,16,6
17,45,55,10
17,76,36,40
17,3,21,18
17,45,38,7
17,91,42,49
17,63,61,2
17,9,73,36
17,4,1,3
18,89,39,50
18,21,71,50
18,86,28,42
18,36,8,28
18,69,56,13
18,56,64,8
18,73,57,16
18,78,47,31
18,36,12,24
18,80,31,49
19,58,42,16
19,35,92,43
19,37,27,10
19,87,6,19
19,44,31,13
19,2,71,31
19,99,78,21
19,32,53,21
19,84,31,47
19,42,91,49
