p,seed,N,number_of_shortcuts,status,total_spikes,last_spike_time,persistence_duration,spikes_in_final_window
0.0,0,100,0,FAILURE,100,60.0,50.0,0
0.0,1,100,0,FAILURE,100,60.0,50.0,0
0.0,2,100,0,FAILURE,100,60.0,50.0,0
0.0,3,100,0,FAILURE,100,60.0,50.0,0
0.0,4,100,0,FAILURE,100,60.0,50.0,0
0.0,5,100,0,FAILURE,100,60.0,50.0,0
0.0,6,100,0,FAILURE,100,60.0,50.0,0
0.0,7,100,0,FAILURE,100,60.0,50.0,0
0.0,8,100,0,FAILURE,100,60.0,50.0,0
0.0,9,100,0,FAILURE,100,60.0,50.0,0
0.0,10,100,0,FAILURE,100,60.0,50.0,0
0.0,11,100,0,FAILURE,100,60.0,50.0,0
0.0,12,100,0,FAILURE,100,60.0,50.0,0
0.0,13,100,0,FAILURE,100,60.0,50.0,0
0.0,14,100,0,FAILURE,100,60.0,50.0,0
0.0,15,100,0,FAILURE,100,60.0,50.0,0
0.0,16,100,0,FAILURE,100,60.0,50.0,0
0.0,17,100,0,FAILURE,100,60.0,50.0,0
0.0,18,100,0,FAILURE,100,60.0,50.0,0
0.0,19,100,0,FAILURE,100,60.0,50.0,0
0.0,20,100,0,FAILURE,100,60.0,50.0,0
0.0,21,100,0,FAILURE,100,60.0,50.0,0
0.0,22,100,0,FAILURE,100,60.0,50.0,0
0.0,23,100,0,FAILURE,100,60.0,50.0,0
0.0,24,100,0,FAILURE,100,60.0,50.0,0
0.0,25,100,0,FAILURE,100,60.0,50.0,0
0.0,26,100,0,FAILURE,100,60.0,50.0,0
0.0,27,100,0,FAILURE,100,60.0,50.0,0
0.0,28,100,0,FAILURE,100,60.0,50.0,0
0.0,29,100,0,FAILURE,100,60.0,50.0,0
0.0,30,100,0,FAILURE,100,60.0,50.0,0
0.0,31,100,0,FAILURE,100,60.0,50.0,0
0.0,32,100,0,FAILURE,100,60.0,50.0,0
0.0,33,100,0,FAILURE,100,60.0,50.0,0
0.0,34,100,0,FAILURE,100,60.0,50.0,0
0.0,35,100,0,FAILURE,100,60.0,50.0,0
0.0,36,100,0,FAILURE,100,60.0,50.0,0
0.0,37,100,0,FAILURE,100,60.0,50.0,0
0.0,38,100,0,FAILURE,100,60.0,50.0,0
0.0,39,100,0,FAILURE,100,60.0,50.0,0
