feature,correlation_with_success,absolute_correlation
mean_target_distance_from_stimulus,-0.5103123895463034,0.5103123895463034
min_target_distance_from_stimulus,-0.39461141163867186,0.39461141163867186
global_efficiency,0.3583637312346517,0.3583637312346517
mean_source_distance_from_stimulus,0.3506356658376743,0.3506356658376743
mean_path_length,-0.3188384334327496,0.3188384334327496
mean_shortcut_length,0.3148228086018935,0.3148228086018935
max_distance_from_stimulus,0.2709222132492602,0.2709222132492602
mean_distance_from_stimulus,0.21705930993901634,0.21705930993901634
std_shortcut_length,-0.20921594679046782,0.20921594679046782
min_source_distance_from_stimulus,0.20050413063641628,0.20050413063641628
max_shortcut_length,0.20040207309645017,0.20040207309645017
unique_shortcut_targets,0.09352195295828253,0.09352195295828253
max_in_degree,-0.09352195295828253,0.09352195295828253
std_in_degree,-0.09352195295828238,0.09352195295828238
std_out_degree,0.09258200997725514,0.09258200997725514
number_of_shortcuts,0.0,0.0
unique_shortcut_sources,0.0,0.0
max_out_degree,0.0,0.0
reciprocal_shortcuts,0.0,0.0
