p,seed,status,outcome,number_of_shortcuts,mean_shortcut_length,std_shortcut_length,max_shortcut_length,unique_shortcut_sources,unique_shortcut_targets,mean_source_distance_from_stimulus,min_source_distance_from_stimulus,mean_target_distance_from_stimulus,min_target_distance_from_stimulus,std_out_degree,max_out_degree,std_in_degree,max_in_degree,reciprocal_shortcuts,mean_path_length,global_efficiency,mean_distance_from_stimulus,max_distance_from_stimulus
0.02,0,FAILURE,0,2,23.5,1.5,25.0,2,2,18.0,1.0,18.5,13.0,0.13999999999999999,3.0,0.13999999999999999,3.0,0,20.706161616161616,0.09979235955950443,17.03030303030303,39.0
0.02,1,FAILURE,0,2,12.0,8.0,20.0,2,2,14.0,3.0,23.0,1.0,0.13999999999999999,3.0,0.13999999999999999,3.0,0,22.998383838383837,0.09551321651405618,22.464646464646464,40.0
0.02,2,FAILURE,0,2,31.0,12.0,43.0,2,2,36.5,33.0,22.5,21.0,0.13999999999999999,3.0,0.13999999999999999,3.0,0,21.35030303030303,0.0993312894067803,25.252525252525253,50.0
0.02,3,FAILURE,0,2,16.5,10.5,27.0,2,2,32.0,31.0,34.5,27.0,0.13999999999999999,3.0,0.13999999999999999,3.0,0,22.202121212121213,0.0970812454174918,23.939393939393938,45.0
0.02,4,SUCCESS,1,2,29.5,7.5,37.0,2,2,30.0,22.0,22.5,1.0,0.13999999999999999,3.0,0.13999999999999999,3.0,0,20.393636363636364,0.10054489727397323,21.747474747474747,39.0
0.02,5,FAILURE,0,2,17.5,4.5,22.0,2,1,32.5,17.0,30.0,30.0,0.13999999999999999,3.0,0.19899748742132398,4.0,0,22.076161616161617,0.09757853895197798,22.1010101010101,44.0
0.02,6,FAILURE,0,2,13.0,4.0,17.0,2,2,3.5,1.0,9.5,3.0,0.13999999999999999,3.0,0.13999999999999999,3.0,0,22.694141414141413,0.09641014814480534,19.454545454545453,43.0
0.02,7,FAILURE,0,2,26.5,5.5,32.0,2,2,31.0,18.0,25.5,12.0,0.13999999999999999,3.0,0.13999999999999999,3.0,0,20.74848484848485,0.09975989364955637,21.01010101010101,40.0
0.02,8,FAILURE,0,2,32.0,7.0,39.0,2,2,24.0,21.0,33.0,18.0,0.13999999999999999,3.0,0.13999999999999999,3.0,0,19.865252525252526,0.1012075350593329,22.828282828282827,40.0
0.02,9,FAILURE,0,2,38.5,6.5,45.0,2,2,27.0,8.0,29.5,22.0,0.13999999999999999,3.0,0.13999999999999999,3.0,0,19.634343434343435,0.10155835275672322,17.141414141414142,34.0
0.02,10,FAILURE,0,2,12.0,6.0,18.0,2,2,25.5,24.0,37.5,30.0,0.13999999999999999,3.0,0.13999999999999999,3.0,0,23.09888888888889,0.09563974105964396,22.22222222222222,39.0
0.02,11,SUCCESS,1,2,30.5,0.5,31.0,2,2,25.0,21.0,24.5,1.0,0.13999999999999999,3.0,0.13999999999999999,3.0,0,20.56252525252525,0.10039197679739152,21.31313131313131,37.0
0.02,12,FAILURE,0,2,19.5,16.5,36.0,2,2,29.0,11.0,34.5,25.0,0.13999999999999999,3.0,0.13999999999999999,3.0,0,22.27747474747475,0.09662084891332592,21.08080808080808,42.0
0.02,13,FAILURE,0,2,3.5,0.5,4.0,2,2,35.0,31.0,35.5,35.0,0.13999999999999999,3.0,0.13999999999999999,3.0,0,24.659292929292928,0.09220349266168983,24.747474747474747,48.0
0.02,14,FAILURE,0,2,30.5,1.5,32.0,2,2,25.0,15.0,23.5,14.0,0.13999999999999999,3.0,0.13999999999999999,3.0,0,20.23090909090909,0.10061095544480803,25.252525252525253,50.0
0.02,15,FAILURE,0,2,17.5,6.5,24.0,2,2,31.5,20.0,25.0,19.0,0.13999999999999999,3.0,0.13999999999999999,3.0,0,21.854747474747473,0.0982027201245457,22.828282828282827,45.0
0.02,16,FAILURE,0,2,21.0,18.0,39.0,2,2,17.5,3.0,6.5,6.0,0.13999999999999999,3.0,0.13999999999999999,3.0,0,22.15131313131313,0.09683292926810895,24.343434343434343,49.0
0.02,17,FAILURE,0,2,8.0,2.0,10.0,2,2,32.0,24.0,34.0,34.0,0.13999999999999999,3.0,0.13999999999999999,3.0,0,23.645252525252527,0.09439878216837143,23.383838383838384,45.0
0.02,18,SUCCESS,1,2,50.0,0.0,50.0,2,2,34.0,29.0,16.0,11.0,0.13999999999999999,3.0,0.13999999999999999,3.0,0,19.46979797979798,0.10198718088851248,25.252525252525253,50.0
0.02,19,FAILURE,0,2,29.5,13.5,43.0,2,2,11.5,8.0,25.0,8.0,0.13999999999999999,3.0,0.13999999999999999,3.0,0,20.39919191919192,0.10041384564301285,19.737373737373737,37.0
0.02,20,FAILURE,0,2,29.5,9.5,39.0,2,2,31.5,24.0,13.0,4.0,0.13999999999999999,3.0,0.13999999999999999,3.0,0,20.152121212121212,0.1017336151300556,25.252525252525253,50.0
0.02,21,FAILURE,0,2,35.0,13.0,48.0,2,2,16.0,12.0,19.0,10.0,0.13999999999999999,3.0,0.13999999999999999,3.0,0,21.68777777777778,0.09908561643838178,23.444444444444443,46.0
0.02,22,FAILURE,0,2,43.5,2.5,46.0,2,2,21.0,15.0,22.5,14.0,0.13999999999999999,3.0,0.13999999999999999,3.0,0,20.68979797979798,0.10059703215096083,21.232323232323232,42.0
0.02,23,SUCCESS,1,2,28.0,6.0,34.0,2,2,27.5,8.0,16.5,14.0,0.13999999999999999,3.0,0.13999999999999999,3.0,0,21.23989898989899,0.0995468164886149,23.303030303030305,47.0
0.02,24,FAILURE,0,2,20.0,15.0,35.0,2,2,18.5,12.0,13.5,10.0,0.13999999999999999,3.0,0.13999999999999999,3.0,0,21.909292929292928,0.0978356278086336,23.838383838383837,48.0
0.02,25,FAILURE,0,2,24.5,9.5,34.0,2,2,17.5,0.0,42.0,34.0,0.13999999999999999,3.0,0.13999999999999999,3.0,0,21.787171717171717,0.0986007840180938,14.414141414141413,33.0
0.02,26,SUCCESS,1,2,34.5,2.5,37.0,2,2,20.5,5.0,14.0,1.0,0.13999999999999999,3.0,0.13999999999999999,3.0,0,19.76979797979798,0.1019045699764064,18.141414141414142,39.0
0.02,27,SUCCESS,1,2,20.5,10.5,31.0,2,2,39.5,29.0,19.0,19.0,0.13999999999999999,3.0,0.13999999999999999,3.0,0,22.153131313131315,0.09769279707855072,25.252525252525253,50.0
0.02,28,FAILURE,0,2,26.5,7.5,34.0,2,2,22.0,16.0,36.5,35.0,0.13999999999999999,3.0,0.13999999999999999,3.0,0,21.285555555555554,0.09930833260155651,20.88888888888889,41.0
0.02,29,FAILURE,0,2,10.5,1.5,12.0,2,2,26.0,9.0,22.5,0.0,0.13999999999999999,3.0,0.13999999999999999,3.0,0,23.346060606060608,0.0953120017720911,25.19191919191919,49.0
0.02,30,FAILURE,0,2,23.0,10.0,33.0,2,2,32.5,25.0,17.5,8.0,0.13999999999999999,3.0,0.13999999999999999,3.0,0,21.944040404040404,0.09825616574793579,25.252525252525253,50.0
0.02,31,FAILURE,0,2,39.5,3.5,43.0,2,2,2.5,1.0,42.0,40.0,0.13999999999999999,3.0,0.13999999999999999,3.0,0,21.411010101010103,0.09965467543941035,11.494949494949495,23.0
0.02,32,SUCCESS,1,2,28.5,0.5,29.0,2,2,36.0,35.0,20.5,7.0,0.13999999999999999,3.0,0.13999999999999999,3.0,0,21.053232323232322,0.0998322592272343,25.252525252525253,50.0
0.02,33,SUCCESS,1,2,30.5,12.5,43.0,2,2,24.5,12.0,6.0,6.0,0.13999999999999999,3.0,0.13999999999999999,3.0,0,20.634949494949495,0.10019112735822977,25.252525252525253,50.0
0.02,34,FAILURE,0,2,15.0,9.0,24.0,2,2,41.5,39.0,43.5,37.0,0.13999999999999996,3.0,0.13999999999999999,3.0,0,23.012020202020203,0.09587701605646488,25.12121212121212,47.0
0.02,35,SUCCESS,1,2,30.0,7.0,37.0,2,2,36.0,32.0,11.0,5.0,0.13999999999999999,3.0,0.13999999999999999,3.0,0,21.48181818181818,0.09944813903868863,25.252525252525253,50.0
0.02,36,FAILURE,0,2,11.5,8.5,20.0,2,2,10.0,8.0,21.5,11.0,0.13999999999999999,3.0,0.13999999999999999,3.0,0,23.083838383838383,0.09559264873627163,18.96969696969697,39.0
0.02,37,FAILURE,0,2,24.0,21.0,45.0,2,2,24.0,13.0,18.0,16.0,0.13999999999999999,3.0,0.13999999999999999,3.0,0,22.143838383838382,0.096899393027262,24.545454545454547,49.0
0.02,38,FAILURE,0,2,16.0,8.0,24.0,2,2,22.0,18.0,14.0,2.0,0.13999999999999999,3.0,0.13999999999999999,3.0,0,22.137171717171718,0.09788081725916005,23.303030303030305,46.0
0.02,39,SUCCESS,1,2,38.5,8.5,47.0,2,2,37.0,27.0,1.5,0.0,0.13999999999999999,3.0,0.13999999999999999,3.0,0,20.875555555555554,0.10030263833526476,25.252525252525253,50.0
0.02,40,SUCCESS,1,2,24.5,8.5,33.0,2,2,27.0,6.0,20.5,19.0,0.13999999999999999,3.0,0.13999999999999999,3.0,0,21.308282828282827,0.09901073477671515,19.86868686868687,42.0
0.02,41,FAILURE,0,2,17.5,11.5,29.0,2,2,24.0,16.0,35.5,26.0,0.13999999999999999,3.0,0.13999999999999999,3.0,0,22.237575757575758,0.096943931573779,19.87878787878788,36.0
0.02,42,FAILURE,0,2,26.5,4.5,31.0,2,2,28.5,15.0,17.0,7.0,0.13999999999999999,3.0,0.13999999999999999,3.0,0,20.38888888888889,0.10029198171173735,25.252525252525253,50.0
0.02,43,FAILURE,0,2,25.5,10.5,36.0,2,2,5.0,0.0,30.5,15.0,0.13999999999999999,3.0,0.13999999999999999,3.0,0,21.616060606060607,0.09877993198210812,14.181818181818182,28.0
0.02,44,FAILURE,0,2,45.0,1.0,46.0,2,2,23.5,16.0,31.5,25.0,0.13999999999999999,3.0,0.13999999999999999,3.0,0,20.71020202020202,0.10055846841465178,20.474747474747474,39.0
0.02,45,SUCCESS,1,2,28.0,7.0,35.0,2,2,32.5,23.0,4.5,2.0,0.13999999999999999,3.0,0.13999999999999999,3.0,0,21.66808080808081,0.09889672246420163,25.252525252525253,50.0
0.02,46,FAILURE,0,2,27.0,13.0,40.0,2,2,14.5,0.0,41.5,40.0,0.13999999999999999,3.0,0.13999999999999999,3.0,0,21.801616161616163,0.09862309024518512,13.626262626262626,30.0
0.02,47,SUCCESS,1,2,28.0,7.0,35.0,2,2,22.5,4.0,24.5,24.0,0.13999999999999999,3.0,0.13999999999999999,3.0,0,21.0589898989899,0.09965330604038147,18.181818181818183,40.0
0.02,48,SUCCESS,1,2,17.5,7.5,25.0,2,2,19.0,1.0,10.5,9.0,0.13999999999999999,3.0,0.13999999999999999,3.0,0,21.835858585858585,0.09782075091747043,22.1010101010101,46.0
0.02,49,SUCCESS,1,2,29.0,3.0,32.0,2,2,40.5,35.0,11.5,9.0,0.13999999999999999,3.0,0.13999999999999999,3.0,0,21.711616161616163,0.09929931601993827,25.252525252525253,50.0
