feature,correlation_with_success,absolute_correlation
min_delta_d,-0.6657400027693617,0.6657400027693617
strongest_return,0.6657400027693617,0.6657400027693617
mean_delta_d,-0.5831401860310769,0.5831401860310769
toward_count,0.4430388147841479,0.4430388147841479
toward_fraction,0.4430388147841479,0.4430388147841479
net_orientation,0.44213313043258634,0.44213313043258634
away_count,-0.4357561499836432,0.4357561499836432
away_fraction,-0.4357561499836432,0.4357561499836432
max_delta_d,-0.376764355916345,0.376764355916345
std_delta_d,0.3064571984082616,0.3064571984082616
neutral_count,-0.09352195295828253,0.09352195295828253
