p,seed,status,outcome,mean_delta_d,min_delta_d,max_delta_d,std_delta_d,toward_count,away_count,neutral_count,toward_fraction,away_fraction,strongest_return,net_orientation
0.02,0,FAILURE,0,0.5,-22.0,23.0,22.5,1,1,0,0.5,0.5,22.0,0.0
0.02,1,FAILURE,0,9.0,-2.0,20.0,11.0,1,1,0,0.5,0.5,2.0,0.0
0.02,2,FAILURE,0,-14.0,-19.0,-9.0,5.0,2,0,0,1.0,0.0,19.0,1.0
0.02,3,FAILURE,0,2.5,-6.0,11.0,8.5,1,1,0,0.5,0.5,6.0,0.0
0.02,4,SUCCESS,1,-7.5,-37.0,22.0,29.5,1,1,0,0.5,0.5,37.0,0.0
0.02,5,FAILURE,0,-2.5,-18.0,13.0,15.5,1,1,0,0.5,0.5,18.0,0.0
0.02,6,FAILURE,0,6.0,-3.0,15.0,9.0,1,1,0,0.5,0.5,3.0,0.0
0.02,7,FAILURE,0,-5.5,-32.0,21.0,26.5,1,1,0,0.5,0.5,32.0,0.0
0.02,8,FAILURE,0,9.0,-3.0,21.0,12.0,1,1,0,0.5,0.5,3.0,0.0
0.02,9,FAILURE,0,2.5,-24.0,29.0,26.5,1,1,0,0.5,0.5,24.0,0.0
0.02,10,FAILURE,0,12.0,6.0,18.0,6.0,0,2,0,0.0,1.0,-6.0,-1.0
0.02,11,SUCCESS,1,-0.5,-28.0,27.0,27.5,1,1,0,0.5,0.5,28.0,0.0
0.02,12,FAILURE,0,5.5,-3.0,14.0,8.5,1,1,0,0.5,0.5,3.0,0.0
0.02,13,FAILURE,0,0.5,-3.0,4.0,3.5,1,1,0,0.5,0.5,3.0,0.0
0.02,14,FAILURE,0,-1.5,-2.0,-1.0,0.5,2,0,0,1.0,0.0,2.0,1.0
0.02,15,FAILURE,0,-6.5,-24.0,11.0,17.5,1,1,0,0.5,0.5,24.0,0.0
0.02,16,FAILURE,0,-11.0,-25.0,3.0,14.0,1,1,0,0.5,0.5,25.0,0.0
0.02,17,FAILURE,0,2.0,-6.0,10.0,8.0,1,1,0,0.5,0.5,6.0,0.0
0.02,18,SUCCESS,1,-18.0,-28.0,-8.0,10.0,2,0,0,1.0,0.0,28.0,1.0
0.02,19,FAILURE,0,13.5,0.0,27.0,13.5,0,1,1,0.0,0.5,-0.0,-0.5
0.02,20,FAILURE,0,-18.5,-20.0,-17.0,1.5,2,0,0,1.0,0.0,20.0,1.0
0.02,21,FAILURE,0,3.0,-2.0,8.0,5.0,1,1,0,0.5,0.5,2.0,0.0
0.02,22,FAILURE,0,1.5,-13.0,16.0,14.5,1,1,0,0.5,0.5,13.0,0.0
0.02,23,SUCCESS,1,-11.0,-28.0,6.0,17.0,1,1,0,0.5,0.5,28.0,0.0
0.02,24,FAILURE,0,-5.0,-15.0,5.0,10.0,1,1,0,0.5,0.5,15.0,0.0
0.02,25,FAILURE,0,24.5,15.0,34.0,9.5,0,2,0,0.0,1.0,-15.0,-1.0
0.02,26,SUCCESS,1,-6.5,-35.0,22.0,28.5,1,1,0,0.5,0.5,35.0,0.0
0.02,27,SUCCESS,1,-20.5,-31.0,-10.0,10.5,2,0,0,1.0,0.0,31.0,1.0
0.02,28,FAILURE,0,14.5,10.0,19.0,4.5,0,2,0,0.0,1.0,-10.0,-1.0
0.02,29,FAILURE,0,-3.5,-9.0,2.0,5.5,1,1,0,0.5,0.5,9.0,0.0
0.02,30,FAILURE,0,-15.0,-17.0,-13.0,2.0,2,0,0,1.0,0.0,17.0,1.0
0.02,31,FAILURE,0,39.5,36.0,43.0,3.5,0,2,0,0.0,1.0,-36.0,-1.0
0.02,32,SUCCESS,1,-15.5,-28.0,-3.0,12.5,2,0,0,1.0,0.0,28.0,1.0
0.02,33,SUCCESS,1,-18.5,-31.0,-6.0,12.5,2,0,0,1.0,0.0,31.0,1.0
0.02,34,FAILURE,0,2.0,-2.0,6.0,4.0,1,1,0,0.5,0.5,2.0,0.0
0.02,35,SUCCESS,1,-25.0,-27.0,-23.0,2.0,2,0,0,1.0,0.0,27.0,1.0
0.02,36,FAILURE,0,11.5,3.0,20.0,8.5,0,2,0,0.0,1.0,-3.0,-1.0
0.02,37,FAILURE,0,-6.0,-15.0,3.0,9.0,1,1,0,0.5,0.5,15.0,0.0
0.02,38,FAILURE,0,-8.0,-24.0,8.0,16.0,1,1,0,0.5,0.5,24.0,0.0
0.02,39,SUCCESS,1,-35.5,-47.0,-24.0,11.5,2,0,0,1.0,0.0,47.0,1.0
0.02,40,SUCCESS,1,-6.5,-29.0,16.0,22.5,1,1,0,0.5,0.5,29.0,0.0
0.02,41,FAILURE,0,11.5,-6.0,29.0,17.5,1,1,0,0.5,0.5,6.0,0.0
0.02,42,FAILURE,0,-11.5,-15.0,-8.0,3.5,2,0,0,1.0,0.0,15.0,1.0
0.02,43,FAILURE,0,25.5,15.0,36.0,10.5,0,2,0,0.0,1.0,-15.0,-1.0
0.02,44,FAILURE,0,8.0,-6.0,22.0,14.0,1,1,0,0.5,0.5,6.0,0.0
0.02,45,SUCCESS,1,-28.0,-35.0,-21.0,7.0,2,0,0,1.0,0.0,35.0,1.0
0.02,46,FAILURE,0,27.0,14.0,40.0,13.0,0,2,0,0.0,1.0,-14.0,-1.0
0.02,47,SUCCESS,1,2.0,-17.0,21.0,19.0,1,1,0,0.5,0.5,17.0,0.0
0.02,48,SUCCESS,1,-8.5,-25.0,8.0,16.5,1,1,0,0.5,0.5,25.0,0.0
0.02,49,SUCCESS,1,-29.0,-32.0,-26.0,3.0,2,0,0,1.0,0.0,32.0,1.0
