p,seed,status,outcome,total_spikes,total_shortcuts,active_shortcuts,active_shortcut_fraction,total_activation_events,active_toward_shortcuts,active_away_shortcuts,toward_activation_events,away_activation_events,activation_orientation_balance
0.02,0,FAILURE,0,100,2,1,0.5,1,0,1,0,1,-1
0.02,1,FAILURE,0,100,2,1,0.5,1,0,1,0,1,-1
0.02,2,FAILURE,0,100,2,0,0.0,0,0,0,0,0,0
0.02,3,FAILURE,0,100,2,1,0.5,1,0,1,0,1,-1
0.02,4,SUCCESS,1,631,2,2,1.0,12,1,1,6,6,0
0.02,5,FAILURE,0,101,2,2,1.0,2,1,1,1,1,0
0.02,6,FAILURE,0,100,2,1,0.5,1,0,1,0,1,-1
0.02,7,FAILURE,0,100,2,1,0.5,1,0,1,0,1,-1
0.02,8,FAILURE,0,100,2,1,0.5,1,0,1,0,1,-1
0.02,9,FAILURE,0,100,2,2,1.0,2,1,1,1,1,0
0.02,10,FAILURE,0,100,2,2,1.0,2,0,2,0,2,-2
0.02,11,SUCCESS,1,608,2,2,1.0,12,1,1,6,6,0
0.02,12,FAILURE,0,100,2,2,1.0,2,1,1,1,1,0
0.02,13,FAILURE,0,100,2,1,0.5,1,0,1,0,1,-1
0.02,14,FAILURE,0,100,2,0,0.0,0,0,0,0,0,0
0.02,15,FAILURE,0,100,2,1,0.5,1,0,1,0,1,-1
0.02,16,FAILURE,0,100,2,1,0.5,1,0,1,0,1,-1
0.02,17,FAILURE,0,100,2,1,0.5,1,0,1,0,1,-1
0.02,18,SUCCESS,1,486,2,2,1.0,8,2,0,8,0,8
0.02,19,FAILURE,0,100,2,2,1.0,2,0,1,0,1,-1
0.02,20,FAILURE,0,100,2,0,0.0,0,0,0,0,0,0
0.02,21,FAILURE,0,100,2,1,0.5,1,0,1,0,1,-1
0.02,22,FAILURE,0,100,2,1,0.5,1,0,1,0,1,-1
0.02,23,SUCCESS,1,480,2,2,1.0,6,1,1,5,1,4
0.02,24,FAILURE,0,100,2,1,0.5,1,0,1,0,1,-1
0.02,25,FAILURE,0,100,2,1,0.5,1,0,1,0,1,-1
0.02,26,SUCCESS,1,501,2,2,1.0,10,1,1,5,5,0
0.02,27,SUCCESS,1,510,2,1,0.5,5,1,0,5,0,5
0.02,28,FAILURE,0,100,2,1,0.5,1,0,1,0,1,-1
0.02,29,FAILURE,0,100,2,1,0.5,1,0,1,0,1,-1
0.02,30,FAILURE,0,100,2,0,0.0,0,0,0,0,0,0
0.02,31,FAILURE,0,100,2,2,1.0,2,0,2,0,2,-2
0.02,32,SUCCESS,1,606,2,2,1.0,11,2,0,11,0,11
0.02,33,SUCCESS,1,476,2,2,1.0,8,2,0,8,0,8
0.02,34,FAILURE,0,100,2,1,0.5,1,0,1,0,1,-1
0.02,35,SUCCESS,1,498,2,1,0.5,5,1,0,5,0,5
0.02,36,FAILURE,0,100,2,2,1.0,2,0,2,0,2,-2
0.02,37,FAILURE,0,100,2,1,0.5,1,0,1,0,1,-1
0.02,38,FAILURE,0,100,2,1,0.5,1,0,1,0,1,-1
0.02,39,SUCCESS,1,592,2,1,0.5,6,1,0,6,0,6
0.02,40,SUCCESS,1,533,2,2,1.0,6,1,1,5,1,4
0.02,41,FAILURE,0,100,2,1,0.5,1,0,1,0,1,-1
0.02,42,FAILURE,0,100,2,0,0.0,0,0,0,0,0,0
0.02,43,FAILURE,0,100,2,2,1.0,2,0,2,0,2,-2
0.02,44,FAILURE,0,100,2,1,0.5,1,0,1,0,1,-1
0.02,45,SUCCESS,1,486,2,1,0.5,5,1,0,5,0,5
0.02,46,FAILURE,0,100,2,1,0.5,1,0,1,0,1,-1
0.02,47,SUCCESS,1,498,2,2,1.0,6,1,1,5,1,4
0.02,48,SUCCESS,1,654,2,2,1.0,13,1,1,6,7,-1
0.02,49,SUCCESS,1,611,2,2,1.0,11,2,0,11,0,11
