p,seed,status,shortcut_index,source,target,source_distance,target_distance,delta_d,orientation,source_fired,target_fired,activation_count,activation_fraction,first_source_spike,first_putative_activation,mean_activation_delay
0.02,0,FAILURE,0,85,63,35,13,-22,TOWARD,True,True,0,0.0,45.0,nan,nan
0.02,0,FAILURE,1,51,26,1,24,23,AWAY,True,True,1,1.0,11.0,11.0,1.0
0.02,1,FAILURE,0,47,51,3,1,-2,TOWARD,True,True,0,0.0,13.0,nan,nan
0.02,1,FAILURE,1,75,95,25,45,20,AWAY,True,True,1,1.0,35.0,35.0,1.0
0.02,2,FAILURE,0,83,26,33,24,-9,TOWARD,True,True,0,0.0,43.0,nan,nan
0.02,2,FAILURE,1,10,29,40,21,-19,TOWARD,True,True,0,0.0,50.0,nan,nan
0.02,3,FAILURE,0,81,8,31,42,11,AWAY,True,True,1,1.0,41.0,41.0,1.0
0.02,3,FAILURE,1,17,23,33,27,-6,TOWARD,True,True,0,0.0,43.0,nan,nan
0.02,4,SUCCESS,0,72,94,22,44,22,AWAY,True,True,6,1.0,32.0,32.0,1.0
0.02,4,SUCCESS,1,88,51,38,1,-37,TOWARD,True,True,6,1.0,39.0,39.0,1.0
0.02,5,FAILURE,0,67,80,17,30,13,AWAY,True,True,1,1.0,27.0,27.0,1.0
0.02,5,FAILURE,1,2,80,48,30,-18,TOWARD,True,True,1,1.0,50.0,50.0,1.0
0.02,6,FAILURE,0,44,53,6,3,-3,TOWARD,True,True,0,0.0,16.0,nan,nan
0.02,6,FAILURE,1,51,34,1,16,15,AWAY,True,True,1,1.0,11.0,11.0,1.0
0.02,7,FAILURE,0,94,62,44,12,-32,TOWARD,True,True,0,0.0,34.0,nan,nan
0.02,7,FAILURE,1,68,89,18,39,21,AWAY,True,True,1,1.0,28.0,28.0,1.0
0.02,8,FAILURE,0,71,32,21,18,-3,TOWARD,True,True,0,0.0,31.0,nan,nan
0.02,8,FAILURE,1,23,98,27,48,21,AWAY,True,True,1,1.0,37.0,37.0,1.0
0.02,9,FAILURE,0,42,87,8,37,29,AWAY,True,True,1,1.0,18.0,18.0,1.0
0.02,9,FAILURE,1,96,28,46,22,-24,TOWARD,True,True,1,1.0,28.0,28.0,1.0
0.02,10,FAILURE,0,77,95,27,45,18,AWAY,True,True,1,1.0,37.0,37.0,1.0
0.02,10,FAILURE,1,26,20,24,30,6,AWAY,True,True,1,1.0,34.0,34.0,1.0
0.02,11,SUCCESS,0,79,49,29,1,-28,TOWARD,True,True,6,1.0,39.0,39.0,1.0
0.02,11,SUCCESS,1,71,2,21,48,27,AWAY,True,True,6,1.0,31.0,31.0,1.0
0.02,12,FAILURE,0,61,25,11,25,14,AWAY,True,True,1,1.0,21.0,21.0,1.0
0.02,12,FAILURE,1,97,94,47,44,-3,TOWARD,True,True,1,1.0,50.0,50.0,1.0
0.02,13,FAILURE,0,89,86,39,36,-3,TOWARD,True,True,0,0.0,46.0,nan,nan
0.02,13,FAILURE,1,81,85,31,35,4,AWAY,True,True,1,1.0,41.0,41.0,1.0
0.02,14,FAILURE,0,15,83,35,33,-2,TOWARD,True,True,0,0.0,45.0,nan,nan
0.02,14,FAILURE,1,65,36,15,14,-1,TOWARD,True,True,0,0.0,25.0,nan,nan
0.02,15,FAILURE,0,93,69,43,19,-24,TOWARD,True,True,0,0.0,43.0,nan,nan
0.02,15,FAILURE,1,70,81,20,31,11,AWAY,True,True,1,1.0,30.0,30.0,1.0
0.02,16,FAILURE,0,53,56,3,6,3,AWAY,True,True,1,1.0,13.0,13.0,1.0
0.02,16,FAILURE,1,82,43,32,7,-25,TOWARD,True,True,0,0.0,40.0,nan,nan
0.02,17,FAILURE,0,74,84,24,34,10,AWAY,True,True,1,1.0,34.0,34.0,1.0
0.02,17,FAILURE,1,10,16,40,34,-6,TOWARD,True,True,0,0.0,50.0,nan,nan
0.02,18,SUCCESS,0,89,39,39,11,-28,TOWARD,True,True,4,1.0,49.0,49.0,1.0
0.02,18,SUCCESS,1,21,71,29,21,-8,TOWARD,True,True,4,0.8,39.0,68.0,1.0
0.02,19,FAILURE,0,58,42,8,8,0,NEUTRAL,True,True,1,1.0,18.0,18.0,0.0
0.02,19,FAILURE,1,35,92,15,42,27,AWAY,True,True,1,1.0,25.0,25.0,1.0
0.02,20,FAILURE,0,89,28,39,22,-17,TOWARD,True,True,0,0.0,49.0,nan,nan
0.02,20,FAILURE,1,26,46,24,4,-20,TOWARD,True,True,0,0.0,34.0,nan,nan
0.02,21,FAILURE,0,30,78,20,28,8,AWAY,True,True,1,1.0,30.0,30.0,1.0
0.02,21,FAILURE,1,38,60,12,10,-2,TOWARD,True,True,0,0.0,22.0,nan,nan
0.02,22,FAILURE,0,77,36,27,14,-13,TOWARD,True,True,0,0.0,37.0,nan,nan
0.02,22,FAILURE,1,65,19,15,31,16,AWAY,True,True,1,1.0,25.0,25.0,1.0
0.02,23,SUCCESS,0,3,69,47,19,-28,TOWARD,True,True,5,1.0,57.0,57.0,1.0
0.02,23,SUCCESS,1,42,64,8,14,6,AWAY,True,True,1,0.2,18.0,18.0,1.0
0.02,24,FAILURE,0,38,33,12,17,5,AWAY,True,True,1,1.0,22.0,22.0,1.0
0.02,24,FAILURE,1,75,40,25,10,-15,TOWARD,True,True,0,0.0,35.0,nan,nan
0.02,25,FAILURE,0,50,16,0,34,34,AWAY,True,True,1,1.0,10.0,10.0,1.0
0.02,25,FAILURE,1,85,0,35,50,15,AWAY,True,True,0,0.0,42.0,nan,nan
0.02,26,SUCCESS,0,86,49,36,1,-35,TOWARD,True,True,5,1.0,46.0,46.0,1.0
0.02,26,SUCCESS,1,55,23,5,27,22,AWAY,True,True,5,1.0,15.0,15.0,1.0
0.02,27,SUCCESS,0,0,69,50,19,-31,TOWARD,True,True,5,1.0,60.0,60.0,1.0
0.02,27,SUCCESS,1,21,31,29,19,-10,TOWARD,True,True,0,0.0,39.0,nan,nan
0.02,28,FAILURE,0,66,85,16,35,19,AWAY,True,True,1,1.0,26.0,26.0,1.0
0.02,28,FAILURE,1,22,88,28,38,10,AWAY,True,True,0,0.0,38.0,nan,nan
0.02,29,FAILURE,0,93,5,43,45,2,AWAY,True,True,1,1.0,53.0,53.0,1.0
0.02,29,FAILURE,1,59,50,9,0,-9,TOWARD,True,True,0,0.0,19.0,nan,nan
0.02,30,FAILURE,0,10,23,40,27,-13,TOWARD,True,True,0,0.0,50.0,nan,nan
0.02,30,FAILURE,1,75,42,25,8,-17,TOWARD,True,True,0,0.0,35.0,nan,nan
0.02,31,FAILURE,0,54,90,4,40,36,AWAY,True,True,1,1.0,14.0,14.0,1.0
0.02,31,FAILURE,1,49,6,1,44,43,AWAY,True,True,1,1.0,11.0,11.0,1.0
0.02,32,SUCCESS,0,87,16,37,34,-3,TOWARD,True,True,5,0.8333333333333334,47.0,76.0,1.0
